colnames,fullnames,meaning,interpretation,change,sources
"slope","slope of the peak exercise ST segment","slope of the peak exercise ST segment (see above)","Downsloping: if this happens at a lower heart rate, it can indicate a worse prognosis and a higher likelihood of heart disease.
Upsloping is usually seen as an equivocal result to downsloping.","Excercise and heart disease medication.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4958709/"
"ca","number of major vessels colored by fluoroscopy","A catheter is inserted into an artery of the heart, then a fluorescent dye is inserted through the catheter, which is used to colour major vessels. This can then be seen with an X-Ray.
The number of vessels coloured by the dye can give information on the quality of blood flow.","The more major blood vessels coloured by fluoroscopy, the better the blood flow, the lower the risk for heart disease. If the number of coloured vessels is low, your blood flow may be impaired, which can increase risk for heart disease and heart attacks.","","https://www.cdc.gov/nceh/radiation/fluoroscopy.html"
"thal","thalassemia trait","Thalassemia is an inherited disease that makes body not produce enough hemoglobin, which leads to less oxygen in red blood cells","Fixed Defect (ischemia) - no blood flow in part of the heart.
Reversible defect - a blood flow is observed but it is not normal.
Abnormal or reduced blood flow in parts of the heart or the entire heart can increase risk of heart disease and heart attacks.","","https://en.wikipedia.org/wiki/Thalassemia"
"BMI","Body Mass Index","Body Mass Index","Body Mass Index","Body Mass Index","Body Mass Index"
"Smoker","smoked at least 100 cigarettes","smoked at least 100 cigarettes","smoked at least 100 cigarettes","smoked at least 100 cigarettes","smoked at least 100 cigarettes"
"Stroke","ever had a stroke","ever had a stroke","ever had a stroke","ever had a stroke","ever had a stroke"
"Diabetes","diabetes diagnosis","diabetes diagnosis","diabetes diagnosis","diabetes diagnosis","diabetes diagnosis"
"PhysActivity","physical activity/exercise in the past 30 days","physical activity/exercise in the past 30 days","physical activity/exercise in the past 30 days","physical activity/exercise in the past 30 days","physical activity/exercise in the past 30 days"
"HvyAlcoholConsump","heavy alcohol consumption","heavy alcohol consumption","heavy alcohol consumption","heavy alcohol consumption","heavy alcohol consumption"
"GenHlth","general health","general health","general health","general health","general health"
"MentHlth","mental health","mental health","mental health","mental health","mental health"
"PhysHlth","physical health","physical health","physical health","physical health","physical health"
"DiffWalk","difficulty walking or climbing stairs","difficulty walking or climbing stairs","difficulty walking or climbing stairs","difficulty walking or climbing stairs","difficulty walking or climbing stairs"
"target","stage of heart disease","Stage of heart disease information.","stage of heart disease","stage of heart disease","stage of heart disease"
