colnames,fullnames,meaning,interpretation,change,sources
"thal","thalassemia trait","Thalassemia is an inherited disease that makes body not produce enough hemoglobin, which leads to less oxygen in red blood cells","Fixed Defect (ischemia) - no blood flow in part of the heart.
Reversible defect - a blood flow is observed but it is not normal.
Abnormal or reduced blood flow in parts of the heart or the entire heart can increase risk of heart disease and heart attacks.","","https://en.wikipedia.org/wiki/Thalassemia"
"BMI","Body Mass Index","Body Mass Index, or BMI is calculated by dividing weight in kg by height squared in m: weight/ (height^2)","healthy: 18.5 - 25, overweight: 25 - 30, obese: >30, underweight: <18.5
In general a higher BMI is linked to a higher risk of developing a range of conditions like diabetes, arthritis, liver disease, cancer, high blood pressure, high cholesterol, sleep apnea.
Current BMI definitions of overweight or obesity were based largely on white populations. Yet body composition, including percent body fat or amount of muscle mass, can vary by race and ethnic group.","Losing or gaining weight.
It is important to keep in mind, that the BMI doesn't differentiate between the weight of fat or the weight of muscles. BMI may be particularly unreliable during pregnancy, for athletes, and the elderly.","https://www.health.harvard.edu/blog/how-useful-is-the-body-mass-index-bmi-201603309339
https://www.nhs.uk/live-well/healthy-weight/bmi-calculator/"
"Smoker","smoked at least 100 cigarettes","Have you smoked at least 100 cigarettes in your entire life? (Note: 5 packs = 100 cigarettes)","Smokers are more likely than non-smokers to develop heart disease, stroke and lung cancer. Smokers are at greater risk for diseases that affect the heart and blood vessels (cardiovascular disease).","Reduce or quit smoking: Quitting smoking is one of the most important actions people can take to improve their health. This is true regardless of their age or how long they have been smoking.","https://www.cdc.gov/tobacco/data_statistics/fact_sheets/health_effects/effects_cig_smoking/index.htm"
"Stroke","ever had a stroke","A stroke is a serious life-threatening medical condition that happens when the blood supply to part of the brain is cut off.","If the supply of blood to the brain is restricted or stopped, brain cells begin to die. This can lead to brain injury, disability and possibly death. People who survive a stroke are often left with long-term problems caused by injury to their brain.
Women and men have a much higher risk of dangerous heart problems soon after their first stroke compared to people without stroke, even if they don't have obvious underlying heart disease, a study has found.","You can significantly reduce your risk of having a stroke if you: eat well, take regular exercise, don't drink alcohol, don't smoke.
If you've had a stroke in the past, these measures are particularly important because your risk of having another stroke is greatly increased.","https://www.ahajournals.org/doi/full/10.1161/STROKEAHA.119.028066
https://www.nhs.uk/conditions/stroke/"
"Diabetes","diabetes diagnosis","Diabetes is a disease where a person's body has trouble producing insulin, resulting in too much sugar building up in the blood stream.","Having diabetes means you are more likely to develop heart disease. People with diabetes are also more likely to have certain risk factors, such as high blood pressure or high cholesterol, that increase their chances of having a heart attack or a stroke.
High blood glucose from diabetes can damage your blood vessels and the nerves that control your heart and blood vessels. Over time, this damage can lead to heart disease. People with diabetes tend to develop heart disease at a younger age than people without diabetes. Adults with diabetes are nearly twice as likely to have heart disease or stroke as adults without diabetes.","The steps you take to manage your diabetes also help lower your chances of having heart disease or stroke:
Follow a healthy eating plan, make physical activity part of your routine, star at or get to a healthy weight, get enough sleep and quit smoking.","https://www.cdc.gov/chronicdisease/resources/publications/factsheets/heart-disease-stroke.htm
https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/heart-disease-stroke"
"PhysActivity","physical activity/exercise in the past 30 days","Adults who reported doing physical activity or exercise during the past 30 days other than their regular job.","Physical activity lowers your risk for many diseases, such as coronary heart disease, diabetes, and cancer. Inactive people are more likely to develop heart disease than people who are physically active. Studies suggest that inactivity is a major risk factor for heart disease, just like high blood pressure, high blood cholesterol, and smoking.","Reduce time sitting and increase time moving.
Make physical activity part of your daily or weekly routine.
Take up a sport, alone or in a group.","https://www.nhlbi.nih.gov/health/heart/physical-activity/benefits
https://www.cdc.gov/healthyweight/physical_activity/getting_started.html"
"HvyAlcoholConsump","heavy alcohol consumption","Alcohol is poisonous to the body and needs to be metabolised by the liver. Heavy alcohol consumption, as with any heavy substance abuse, can have adverse health effects.","Heavy drinking, on the other hand, is linked to a number of poor health outcomes, including heart conditions. Excessive alcohol intake can lead to high blood pressure, heart failure or stroke. Excessive drinking can also contribute to cardiomyopathy, a disorder that affects the heart muscle.
Light-to-moderate drinking (1 to 14 drinks/week) is associated with a significant reduction in progressive heart failure and hospitalization. However, there were no positive effects in subjects with mechanical or electrical dysfunction of heart muscle, or nonischemic heart disease, and although not significant, there was a slight risk for hospitalization for heart failure.","Reduce the amount of drinks you have in a week to less than 14 for men, 7 for women. (1 drink= 355 ml beer / 118 ml wine / 44 ml spirits)
If you have certain heart rhythm abnormalities or heart failure, you should avoid even that much or not drink at all.","https://www.hopkinsmedicine.org/health/wellness-and-prevention/alcohol-and-heart-health-separating-fact-from-fiction
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5513687/"
"GenHlth","general health","General health can mean anything from physical to mental health.","Poor general health may indicate heart disease as a cause.","Find out the cause of poor health can help improve it.",""
"MentHlth","mental health","Mental health includes stress, depression, and problems with emotions","A higher prevalence of mental diseases in CHD (Coronary Heart Disease) patients has been demonstrated. Conversely, people suffering from a mental disease seem to have an increased risk of CHD. Moreover, common pathophysiological mechanisms may link both diseases.","As poor mental health may be connected with poor physical health, improving mental health could lead to better overall health outcomes. Consider talking to a friend or finding a therapist.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6016051/"
"PhysHlth","physical health","Physical health includes physical illness and injury.","A low physical health is strongly and significantly associated with the incidence of all major types of coronary heart disease.","How to improve poor physical health depends on the cause of said physical health.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6041849/"
"DiffWalk","difficulty walking or climbing stairs","Difficulty walking or climbing stairs.","The more risk factors people have for heart disease, the faster their decline in walking speed.","As difficulty walking is connected to risk factors for heart disease, treating the underlying causes can improve difficulty walking.","https://www.medindia.net/news/walking-difficulties-linked-with-heart-disease-risk-factors-174860-1.htm"
"age","age of person in years","age of person in years","The older. the higher the risk for heart disease.
Risk for heart disease and attack increases significantly over the age of 45.","If you lead a healthier lifestyle - eat healthier, do exercise, avoid excessive drug use - , you can lower the risk of heart disease at a higher age.","https://www.who.int/news-room/fact-sheets/detail/cardiovascular-diseases-(cvds)"
"sex","sex of person (male/female)","sex of person (male/female)","Men have a greater risk to suffer from heart attacks than women, and a greater risk of having a heart attack at a younger age than women do. Women have a higher risk for heart attack at a later age than men.","","https://memorialhermann.org/services/specialties/heart-and-vascular/healthy-living/education/heart-disease-and-age"
"target","stage of heart disease","Stage of heart disease information.","stage of heart disease","stage of heart disease","stage of heart disease"
